window_start,window_end,window_start_ms,window_end_ms,beta,alpha,se_beta,avg_depth,avg_mid_price,r_squared,n_obs
2025-11-02 10:17:21.365000+00:00,2025-11-02 12:00:29.683000+00:00,1762078641365,1762084829683,5.124034952067294e-08,-3.058354213905199e-20,3.542076479673602e-23,13309198.664839998,0.9417639999999997,1.0000000000000309,500
2025-11-02 11:18:19.903000+00:00,2025-11-02 12:50:04.758000+00:00,1762082299903,1762087804758,3.3013927165678804e-08,1.3982875031997961e-06,1.5883949107270306e-09,13289979.293399997,0.942364,0.46451249611921197,500
2025-11-02 12:00:38.295000+00:00,2025-11-02 13:33:13.661000+00:00,1762084838295,1762090393661,3.120373972672581e-08,-4.9075158365662156e-06,2.0352770719361023e-09,13781754.103360001,0.9420800000000001,0.3206496017052991,500
2025-11-02 12:50:04.771000+00:00,2025-11-02 14:30:20.866000+00:00,1762087804771,1762093820866,4.068530316803534e-08,-7.945493895418832e-06,2.4915164244430827e-09,14979323.049539996,0.9407449999999999,0.3487247834799522,500
2025-11-02 13:33:46.331000+00:00,2025-11-02 15:47:03.374000+00:00,1762090426331,1762098423374,3.2948976093260695e-08,-1.5248208564918327e-06,3.728369590707185e-09,15528292.27766,0.939115,0.13556536526376872,500
2025-11-02 14:30:50.901000+00:00,2025-11-02 16:48:12.126000+00:00,1762093850901,1762102092126,3.2905480349069176e-08,2.0767365987767177e-06,3.986103622995896e-09,15255144.55812,0.9383199999999999,0.1203679838730579,500
2025-11-02 15:48:00.014000+00:00,2025-11-02 18:02:59.345000+00:00,1762098480014,1762106579345,6.904802360575792e-08,-3.3599745357516224e-06,5.51316591297413e-09,15120665.268779999,0.9377449999999999,0.239527151419969,500
2025-11-02 16:48:12.147000+00:00,2025-11-02 19:10:28.508000+00:00,1762102092147,1762110628508,2.7883930537260542e-08,-5.648288246236922e-06,3.4531882430650005e-09,14806093.5573,0.9362670000000001,0.1157717316646494,500
2025-11-02 18:03:10.091000+00:00,2025-11-02 20:25:53.832000+00:00,1762106590091,1762115153832,2.027528472443235e-08,1.738137711549635e-06,2.2446350886013146e-09,14400061.28524,0.9349580000000001,0.14077345540575842,500
2025-11-02 19:10:35.612000+00:00,2025-11-02 21:48:27.679000+00:00,1762110635612,1762120107679,4.662638690664193e-08,-2.6191272462067125e-06,3.068619423732528e-09,14399824.44732,0.934951,0.3167555518146497,500
