level_config,time_window,outlier_method,q_exponent,r2,beta,p_value,n_obs,std_err
L2,90,Raw,0.5,0.6874306423814893,0.00027405188734556403,1.6331965580960153e-79,309,1.0546840207721637e-05
L2,90,Abs (100k),0.5,0.6874306423814893,0.00027405188734556403,1.6331965580960153e-79,309,1.0546840207721637e-05
L20,20,Abs (200k),0.5,0.687145633970872,2.367329406873778e-05,0.0,1376,4.309352704534174e-07
L20,20,Raw,0.5,0.687145633970872,2.367329406873778e-05,0.0,1376,4.309352704534174e-07
L20,20,Abs (100k),0.5,0.687145633970872,2.367329406873778e-05,0.0,1376,4.309352704534174e-07
L20,30,Winsorized,0.3,0.6867231517261104,0.00020699306701997433,1.3579526998402262e-233,920,4.614320590293409e-06
L3,90,Winsorized,0.5,0.6862696647490586,0.00019874035452733637,2.887715926493105e-79,309,7.669158759170206e-06
ALL,90,Raw,0.5,0.6862662258498999,1.0882874424775987e-05,2.892585932897571e-79,309,4.1996079992862996e-07
L50pct,45,Abs (100k),0.5,0.6858552728648767,2.0753680590370217e-05,2.88316511368414e-156,615,5.673009848763718e-07
L50pct,45,Raw,0.5,0.6858552728648767,2.0753680590370217e-05,2.88316511368414e-156,615,5.673009848763718e-07
L50pct,45,Abs (200k),0.5,0.6858552728648767,2.0753680590370217e-05,2.88316511368414e-156,615,5.673009848763718e-07
ALL,90,Z-Score (3),0.3,0.685749294329639,8.450405159867347e-05,1.2123734210122958e-77,303,3.2972337022725587e-06
L50pct,90,Z-Score (3),0.5,0.6857401420576833,2.1199555860091962e-05,3.8141725784171815e-78,305,8.244609995194682e-07
L50pct,30,Abs (100k),0.5,0.6856393007553527,2.0524020525016042e-05,6.632868680916324e-233,920,4.586774306662315e-07
L50pct,30,Abs (200k),0.5,0.6856393007553527,2.0524020525016042e-05,6.632868680916324e-233,920,4.586774306662315e-07
L50pct,30,Raw,0.5,0.6856393007553527,2.0524020525016042e-05,6.632868680916324e-233,920,4.586774306662315e-07
L5,90,Abs (200k),0.5,0.6854809655707212,0.00010838840204883801,4.2479688224866e-79,309,4.190244771254838e-06
L5,90,Raw,0.5,0.6854809655707212,0.00010838840204883801,4.2479688224866e-79,309,4.190244771254838e-06
L5,90,Abs (100k),0.5,0.6854809655707212,0.00010838840204883801,4.2479688224866e-79,309,4.190244771254838e-06
L10,90,Z-Score (3),0.3,0.6849820173144696,0.0003662169688481396,3.124790960449965e-77,302,1.4338572752777119e-05
L5,10,Abs (200k),0.3,0.6849500194701698,0.0008088507252853677,0.0,2747,1.0470260625001938e-05
L5,10,Raw,0.3,0.6849500194701698,0.0008088507252853677,0.0,2747,1.0470260625001938e-05
L5,10,Abs (100k),0.3,0.6849500194701698,0.0008088507252853677,0.0,2747,1.0470260625001938e-05
L5,90,Z-Score (3),0.3,0.6848141987476194,0.0007717944016101964,3.3850764470859915e-77,302,3.0229985640337226e-05
ALL,90,Pctl (1%-99%),0.3,0.6847958056738818,8.832486041515564e-05,6.0925817438702206e-77,301,3.4654753473635073e-06
L50pct,20,Raw,0.5,0.6846556891783675,1.934452941596241e-05,0.0,1376,3.5417768295042864e-07
L50pct,20,Abs (100k),0.5,0.6846556891783675,1.934452941596241e-05,0.0,1376,3.5417768295042864e-07
L50pct,20,Abs (200k),0.5,0.6846556891783675,1.934452941596241e-05,0.0,1376,3.5417768295042864e-07
L20,10,Abs (100k),0.3,0.6842925245316128,0.00018348189558823556,0.0,2747,2.378721395027528e-06
L20,10,Raw,0.3,0.6842925245316128,0.00018348189558823556,0.0,2747,2.378721395027528e-06
L20,10,Abs (200k),0.3,0.6842925245316128,0.00018348189558823556,0.0,2747,2.378721395027528e-06
L5,60,Z-Score (3),0.3,0.6840284392917358,0.0007595759218729539,3.795140897675103e-114,450,2.439041000239384e-05
L5,60,Pctl (1%-99%),0.3,0.683651616466655,0.0007581969466569958,4.957864308271468e-114,450,2.4367356179869096e-05
L10,90,Winsorized,0.5,0.6831061055094223,5.3011375475345644e-05,1.3502147950102395e-78,309,2.0606903511819154e-06
L5,90,Pctl (1%-99%),0.3,0.68255556716923,0.0007827207565754771,1.75924875926688e-76,301,3.086996289984541e-05
ALL,90,Winsorized,0.5,0.6825194736075556,1.2088780207556247e-05,1.7942457134002667e-78,309,4.7055925118268334e-07
ALL,60,Abs (200k),0.5,0.6822873943689478,1.111944795081971e-05,4.1661630467276973e-116,460,3.545553448693281e-07
