time_window,outlier_method,phase,r_squared,beta,p_value,n_obs
30,Abs (100k),Phase 3 (Near Expiry),0.2462709961547377,3.1749110339220944e-06,9.424744583884985e-19,279
30,MAD (3),Phase 1 (Early),0.07624420814170578,2.7344881432118685e-06,4.105249686642699e-06,270
30,MAD (3),Phase 2 (Middle),0.15001745420885834,3.456214991836662e-06,4.2820892309657316e-11,270
30,MAD (3),Phase 3 (Near Expiry),0.23781682309826999,3.5251503814179456e-06,1.5498467723352294e-17,270
30,Pctl (5%-95%),Phase 1 (Early),0.08712802661175671,2.8643200415612157e-06,5.937155093443681e-07,276
30,Pctl (5%-95%),Phase 2 (Middle),0.17019548381653754,3.5182237110599663e-06,9.109962068268404e-13,276
30,Pctl (5%-95%),Phase 3 (Near Expiry),0.22822611229895487,3.0939282609630275e-06,3.8411257009516315e-17,276
45,Raw,Phase 1 (Early),0.14836828571181956,2.955823246099617e-06,1.177964498459117e-08,205
45,Raw,Phase 2 (Middle),0.3719983092036242,2.7136766577221107e-06,2.8307586210944065e-22,205
45,Raw,Phase 3 (Near Expiry),0.16362244899743747,8.055109240404953e-07,1.796161378081627e-09,205
45,IQR (1.5x),Phase 1 (Early),0.1170556743359707,3.2442344286219993e-06,2.949274086367068e-06,178
45,IQR (1.5x),Phase 2 (Middle),0.17335520165992305,2.914417232431314e-06,7.451007936195128e-09,178
45,IQR (1.5x),Phase 3 (Near Expiry),0.24109826109234328,3.821463113931498e-06,3.4389638792948505e-12,178
45,Pctl (1%-99%),Phase 1 (Early),0.14869355794479097,2.987546675840183e-06,1.7130260222636564e-08,200
45,Pctl (1%-99%),Phase 2 (Middle),0.26084741163641223,2.8658382973348208e-06,1.105581251510032e-14,200
45,Pctl (1%-99%),Phase 3 (Near Expiry),0.41424039647919947,2.6348335399671905e-06,6.736275258994138e-25,201
45,Z-Score (3),Phase 1 (Early),0.1481497322707452,2.980149871321068e-06,1.5497615628099194e-08,202
45,Z-Score (3),Phase 2 (Middle),0.27287044186885984,2.4722169928957183e-06,1.5435850302039034e-15,202
45,Z-Score (3),Phase 3 (Near Expiry),0.4428149054510767,2.685061415865452e-06,2.494523464164005e-27,203
45,Winsorized,Phase 1 (Early),0.14836828571181956,2.955823246099617e-06,1.177964498459117e-08,205
45,Winsorized,Phase 2 (Middle),0.3378329813192619,2.9444476847009544e-06,6.418795376205505e-20,205
45,Winsorized,Phase 3 (Near Expiry),0.4310238320953823,2.5897738840877563e-06,1.1740913390921918e-26,205
45,Abs (200k),Phase 1 (Early),0.14673126962247554,2.9663942677914927e-06,3.258427557757013e-08,195
45,Abs (200k),Phase 2 (Middle),0.3229069335242948,3.946757001869174e-06,4.540205614057395e-18,195
45,Abs (200k),Phase 3 (Near Expiry),0.37688629904624643,2.987928157022855e-06,1.3887692967019715e-21,195
45,Abs (100k),Phase 1 (Early),0.12034619017902498,3.3800444059766767e-06,2.395913519014279e-06,176
45,Abs (100k),Phase 2 (Middle),0.2343854909536828,3.1765988096159205e-06,9.936625550670117e-12,176
45,Abs (100k),Phase 3 (Near Expiry),0.1875902202838101,3.6389863569643397e-06,1.7316921218938337e-09,177
45,MAD (3),Phase 1 (Early),0.11655524024248652,3.204981840399562e-06,2.55912739226204e-06,181
45,MAD (3),Phase 2 (Middle),0.15635859830773732,2.6857761783505153e-06,3.6046951397240293e-08,181
45,MAD (3),Phase 3 (Near Expiry),0.30307799821046005,3.9190586832222695e-06,9.857329357278133e-16,181
45,Pctl (5%-95%),Phase 1 (Early),0.11606640724954118,3.193118050050688e-06,2.221845984864727e-06,184
