time_window,outlier_method,phase,beta,r_squared,p_value,avg_depth_l1,avg_depth_l2,n_obs
45,Abs (200k),Phase 3 (Near Expiry),2.987928157022855e-06,0.37688629904624643,1.3887692967019715e-21,18264.672099225405,5619284.084836431,195
45,Abs (100k),Phase 1 (Early),3.3800444059766767e-06,0.12034619017902498,2.395913519014279e-06,15950.971964567474,6158045.700537327,176
45,Abs (100k),Phase 2 (Middle),3.1765988096159205e-06,0.2343854909536828,9.936625550670117e-12,20955.909078623212,3653512.8290876043,176
45,Abs (100k),Phase 3 (Near Expiry),3.6389863569643397e-06,0.1875902202838101,1.7316921218938337e-09,16489.676873962795,7063809.997079017,177
45,MAD (3),Phase 1 (Early),3.204981840399562e-06,0.11655524024248652,2.55912739226204e-06,16439.52180898956,6104907.951001359,181
45,MAD (3),Phase 2 (Middle),2.6857761783505153e-06,0.15635859830773732,3.6046951397240293e-08,20483.188668050545,3652124.2354195607,181
45,MAD (3),Phase 3 (Near Expiry),3.9190586832222695e-06,0.30307799821046005,9.857329357278133e-16,16716.398446476705,7082480.172799708,181
45,Pctl (5%-95%),Phase 1 (Early),3.193118050050688e-06,0.11606640724954118,2.221845984864727e-06,16768.21367628692,6065414.402496037,184
45,Pctl (5%-95%),Phase 2 (Middle),3.9972124407078145e-06,0.28087966220911337,1.0236288407029079e-14,19883.176752149207,3923590.497259245,184
45,Pctl (5%-95%),Phase 3 (Near Expiry),3.2389646291220678e-06,0.24952911784823884,4.547895705888815e-13,17860.59919628277,6795714.866854913,185
60,Raw,Phase 1 (Early),2.402028599838851e-06,0.10603071824919526,4.004535724970508e-05,17142.81244980219,5857599.686824797,153
60,Raw,Phase 2 (Middle),3.1006656126327196e-06,0.4462219038957773,4.030445613738998e-21,20852.156307491467,5151996.146088442,153
